Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
3,21-06-18 7:50,21-06-18 13:50,32.92393,-96.77563,32.92379,-96.76877,0.398,Ramp to US-75 - Accident. Two lanes blocked. Hard shoulder blocked.,nan,LBJ Fwy E,R,Dallas,Dallas,TX,75251,US,US/Central,KADS,21-06-18 7:47,78.8,nan,83,29.94,10,West,4.6,nan,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,22-12-17 17:23,22-12-17 17:53,33.236919,-87.560966,33.236919,-87.560966,0,Accident on US-82 McFarland Blvd Westbound at Northbrook Dr.,3200,Northbrook Dr,L,Northport,Tuscaloosa,AL,35473,US,US/Central,KTCL,22-12-17 17:14,64.9,nan,100,30.04,4,ESE,4.6,nan,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Day,Day
2,11-12-19 15:27,11-12-19 16:38,33.02304,-117.07853,33.02304,-117.07853,0,At Rancho Bernardo Rd - Accident. Obstruction on roadway {something that does block the road or part of it}.,nan,Escondido Fwy N,R,San Diego,San Diego,CA,92128,US,US/Pacific,KRNM,11-12-19 15:53,60,60,67,28.65,10,W,8,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,09-10-19 15:06,09-10-19 15:39,38.366671,-122.712364,38.366671,-122.712364,0,At Commerce Blvd/Wilfred Ave - Accident.,nan,Redwood Hwy S,R,Santa Rosa,Sonoma,CA,95407,US,US/Pacific,KSTS,09-10-19 14:53,76,76,16,29.7,10,SSW,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,03-12-19 23:44,04-12-19 1:56,38.597976,-121.383093,38.597976,-121.383093,0,At Arden Way - Accident.,nan,Willet Ct,R,Sacramento,Sacramento,CA,95825,US,US/Pacific,KMCC,03-12-19 22:49,50,50,100,29.84,0.25,S,7,nan,Fog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
3,11-04-19 6:27,11-04-19 7:57,42.312874,-83.092567,42.312874,-83.092567,0,Right hand shoulder blocked due to accident on I-75 Northbound at Clark Ave. No recent updates.,nan,Fisher Fwy N,R,Detroit,Wayne,MI,48209,US,US/Eastern,KDET,11-04-19 6:41,37,27,82,29.43,10,E,17,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
2,24-11-20 15:28,24-11-20 23:00,33.45176,-86.95384,33.454528,-86.952041,0.218,Incident on I-20 EB near MM 115 Drive with caution.,nan,I-20 E,R,Bessemer,Jefferson,AL,35020,US,US/Central,KBHM,24-11-20 15:53,65,65,45,29.48,10,SE,12,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,04-12-17 16:11,04-12-17 16:41,35.594666,-97.656219,35.594666,-97.656219,0,Accident on 122nd St at Council Rd.,7929,NW 122nd St,R,Oklahoma City,Oklahoma,OK,73142-3615,US,US/Central,KPWA,04-12-17 15:53,64.9,nan,39,29.81,10,NNW,20.7,nan,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
2,16-09-20 19:11,16-09-20 20:51,25.74748,-80.318367,25.747863,-80.317216,0.076,Incident on SW 75TH AVE near CORAL WAY Drive with caution.,nan,Coral Way,R,Miami,Miami-Dade,FL,33155,US,US/Eastern,KMIA,16-09-20 18:53,85,85,72,29.92,10,SE,9,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,14-05-20 9:35,14-05-20 10:09,41.97427,-87.869133,nan,nan,9.760000229,Two lanes blocked due to accident on I-294 Tri-State Tollway Northbound between Exit 33 I-290 Eisenhower Expy Exits 13A 13B and Exit 39 Balmoral Ave.,nan,I-294 N,R,Des Plaines,Cook,IL,60018,US,US/Central,KORD,14-05-20 9:51,57,57,93,29.15,6,S,13,0.13,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
