Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
2,09-10-20 2:54,09-10-20 5:13,41.496187,-73.159171,41.492397,-73.166101,0.444,Motor Vehicle Accident (2 Vehicle) on I-84 Westbound between Exits 16 and 15. The left lane is closed. Reported Thursday October 8 at 7:54 pm.,nan,I-84 W,R,Southbury,New Haven,CT,6488,US,US/Eastern,KOXC,09-10-20 2:51,40,40,86,29.35,10,CALM,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
3,12-09-18 11:20,12-09-18 12:04,33.938389,-84.157234,nan,nan,1.220000029,Exit ramp from I-85 Southbound at Exit 102 to Beaver Ruin Rd lane blocked due to accident.,nan,GA-403 S,R,Duluth,Gwinnett,GA,30096,US,US/Eastern,KLZU,12-09-18 10:56,82,nan,74,30.16,10,East,5.8,nan,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,19-08-19 16:04,19-08-19 16:33,39.7042,-86.09976,39.70261,-86.11339,0.733,At I-65/Exit 53 - Accident. Traffic problem.,nan,USS Indianapolis Memorial Hwy,R,Indianapolis,Marion,IN,46237,US,US/Eastern,KIND,19-08-19 15:54,89,89,52,29.16,10,W,5,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,06-04-20 22:39,07-04-20 0:12,33.263335,-117.158825,33.263335,-117.158825,0,At Gopher Canyon Rd - Accident.,nan,Escondido Fwy S,R,Bonsall,San Diego,CA,92003,US,US/Pacific,KNFG,06-04-20 22:55,54,54,86,29.94,2,CALM,0,0.1,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
2,25-10-17 19:53,25-10-17 20:22,35.466427,-97.501717,35.466427,-97.501717,0,Accident on Sheridan Ave Northbound at Lincoln Blvd.,nan,E Sheridan Ave,R,Oklahoma City,Oklahoma,OK,73104,US,US/Central,KOKC,25-10-17 19:52,59,nan,53,29.91,10,South,8.1,nan,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Day
3,21-03-18 15:54,21-03-18 16:23,34.065517,-117.5448,34.065517,-117.5448,0,#3 & #4 lane blocked due to accident on I-15 Northbound before Exit 109A I-10.,nan,I-15 N,R,Ontario,San Bernardino,CA,91761,US,US/Pacific,KONT,21-03-18 15:53,64.9,nan,70,30,10,Calm,nan,nan,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,08-12-20 0:38,08-12-20 3:04,33.901684,-118.26189,33.902424,-118.262065,0.052,POSS 2 VEH TC INV GRY 2015 BMW I535 // NFI,798,E Charron Pl,R,Compton,Los Angeles,CA,90220-1113,US,US/Pacific,KHHR,08-12-20 0:53,54,54,38,29.94,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
2,15-12-17 16:46,15-12-17 22:46,32.86365,-97.00566,32.852611,-97.01606,0.973,Between Northgate Dr and TX-183 - Accident. Left lane blocked.,nan,TX-161 S,R,Irving,Dallas,TX,75038,US,US/Central,KDFW,15-12-17 16:53,55,nan,27,30.19,10,WNW,5.8,nan,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,09-02-19 8:42,09-02-19 12:42,43.318588,-121.764101,43.313289,-121.767441,0.403,At Deer Butte Rd/NF-9772 - Accident.,139180,Dalles California Hwy,L,Gilchrist,Klamath,OR,97737,US,US/Pacific,KBDN,09-02-19 8:35,33.8,25.8,65,29.4,10,SSE,10.4,nan,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,10-10-16 17:02,10-10-16 18:32,34.413044,-82.290581,34.413044,-82.290581,0,Accident on Wooden Bridge Rd at SC-184.,9029,Highway 184 E,L,Donalds,Abbeville,SC,29638-8899,US,US/Eastern,KGRD,10-10-16 16:56,73,nan,33,30.27,10,NE,3.5,0,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,09-12-20 2:26,09-12-20 5:11,35.400835,-82.511283,35.398065,-82.504713,0.417,Near Fletcher / Mile Marker 44 Heading East. The road is closed near Exit 44 ( US-25).,nan,I-26 E,R,Hendersonville,Henderson,NC,28791,US,US/Eastern,KAVL,09-12-20 2:54,29,18,72,27.76,10,NNW,15,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
3,18-09-16 15:06,18-09-16 15:50,40.707661,-74.151054,40.707661,-74.151054,0,Accident on I-95 Southbound at I-78.,nan,New Jersey Tpke S,R,Newark,Essex,NJ,7114,US,US/Eastern,KEWR,18-09-16 14:51,86,nan,53,30.01,10,SW,15,nan,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,17-01-20 11:44,17-01-20 12:39,37.295943,-121.872985,37.295943,-121.872985,0,At CA-87/Guadalupe Pkwy - Accident.,nan,Unified Way,R,San Jose,Santa Clara,CA,95125,US,US/Pacific,KSJC,17-01-20 11:53,53,53,61,30.26,10,VAR,3,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,29-08-18 17:34,29-08-18 18:04,35.91394,-84.11027,35.90946,-84.13047,1.172,Between TN-162/Exit 376 and I-140/Exit 376 - Accident.,nan,I-75 S,R,Knoxville,Knox,TN,37922,US,US/Eastern,KTYS,29-08-18 17:53,88,nan,53,30.04,10,West,5.8,nan,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,05-10-18 13:57,05-10-18 14:27,35.94602,-83.99629,35.935127,-84.015436,1.309,At Papermill Dr/Exit 383 - Multi-vehicle accident involving vehicle. Left lane blocked.,nan,I-75 S,R,Knoxville,Knox,TN,37919,US,US/Eastern,KTYS,05-10-18 13:53,84.9,nan,61,30.07,10,Variable,3.5,nan,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
